query_id,customer_id,query_text,product_category,query_type,resolution_time_hours,customer_satisfaction,customer_tier,customer_tenure_months,customer_total_orders,customer_avg_order_value,query_length_words,has_order_reference,is_urgent,created_datetime,hour_of_day,day_of_week,is_weekend,query_complexity_score
QRY_000011,CUST_0011,I can't connect my Boots to WiFi. What should I do?,Clothing,Technical Support,4.68,2.6,Bronze,7.6,16,167.18,11,False,False,2024-11-17 15:12:23,15,6,True,0.224
QRY_000012,CUST_0012,The tracking shows my package is stuck in South Joshuastad for 3 days,Clothing,Shipping,2.34,4.6,Bronze,38.9,15,61.85,13,False,False,2024-12-19 19:32:14,19,3,False,0.353
QRY_000013,CUST_0013,I can't connect my Gaming Console to WiFi. What should I do?,Electronics,Technical Support,6.34,2.6,Bronze,40.6,14,,12,False,False,2025-07-17 04:55:50,4,3,False,0.052
QRY_000014,CUST_0014,I lost my receipt but want to return this T-shirt,Clothing,Returns,1.86,3.9,Gold,23.4,10,134.54,10,False,False,2025-07-27 19:26:44,19,6,True,0.533
QRY_000015,CUST_0015,I was charged twice for my order #ORD520651. Can you help me get a refund?,Sports,Billing,3.2,2.1,Bronze,9.4,14,146.4,15,True,False,2025-10-12 00:45:44,0,6,True,0.403
QRY_000016,CUST_0016,Can I return this Headphones even though it's been 40 days?,Electronics,Returns,6.32,1.2,Bronze,30.0,15,200.18,11,False,False,2025-08-12 00:41:34,0,1,False,0.19
QRY_000017,CUST_0017,What's the difference between Dumbbells and Basketball?,Sports,Product Info,0.91,5.0,Gold,16.3,12,154.35,7,False,False,2025-03-22 10:37:05,10,5,True,0.405
QRY_000018,CUST_0018,I can't connect my Vacuum Cleaner to WiFi. What should I do?,Home & Garden,Technical Support,7.26,1.6,Bronze,17.1,17,135.05,12,False,False,2025-09-22 23:49:46,23,0,False,0.208
QRY_000019,CUST_0019,My credit card shows a charge of $355.00 but I only ordered items worth $41.00,Sports,Billing,4.06,4.2,Silver,33.8,9,109.58,15,False,False,2025-03-20 07:02:52,7,3,False,0.257
QRY_000020,CUST_0020,Can you tell me more about the warranty for Jacket?,Clothing,Product Info,0.77,4.9,Gold,39.6,13,124.91,10,False,False,2025-01-21 10:13:34,10,1,False,0.461
QRY_000021,CUST_0021,I need a receipt for my purchase #ORD905934 for tax purposes,Books,Billing,1.3,3.7,Gold,5.0,17,114.9,11,True,False,2025-10-01 07:48:25,7,2,False,0.319
QRY_000022,CUST_0022,Can you expedite shipping for order #ORD103402? I need it urgently,Electronics,Shipping,3.58,3.1,Bronze,13.4,11,133.62,11,True,True,2025-05-03 12:37:14,12,5,True,0.219
QRY_000023,CUST_0023,My credit card shows a charge of $495.00 but I only ordered items worth $185.00,Sports,Billing,3.84,3.2,Bronze,9.9,19,244.31,15,False,False,2024-12-16 00:04:32,0,0,False,0.033
QRY_000024,CUST_0024,The tracking shows my package is stuck in Port Erin for 3 days,Sports,Shipping,2.31,3.0,Bronze,85.6,21,158.73,13,False,False,2025-06-06 06:25:35,6,4,False,0.45
QRY_000025,CUST_0025,I want to return the iPhone I ordered. It doesn't fit properly,Electronics,Returns,4.69,2.7,Silver,8.6,10,153.01,12,False,False,2025-05-11 03:11:40,3,6,True,0.452
QRY_000026,CUST_0026,I want to return the Yoga Mat I ordered. It doesn't fit properly,Sports,Returns,3.7,2.6,Bronze,7.8,18,273.16,13,False,False,2025-08-05 06:10:47,6,1,False,0.174
QRY_000027,CUST_0027,What's the difference between Boots and Dress?,Clothing,Product Info,1.48,3.5,Bronze,16.1,14,189.55,7,False,False,2024-12-18 01:37:42,1,2,False,0.575
QRY_000028,CUST_0028,What's the difference between Dining Table and Couch?,Home & Garden,Product Info,0.78,4.7,Bronze,24.0,13,104.53,8,False,False,2025-04-30 01:17:31,1,2,False,0.201
QRY_000029,CUST_0029,The Headphones makes a strange noise when I use it,Electronics,Technical Support,9.43,1.9,Bronze,43.3,10,154.98,10,False,False,2025-09-20 17:18:45,17,5,True,0.46
QRY_000030,CUST_0030,The T-shirt arrived damaged. How do I return it?,Clothing,Returns,3.71,2.8,Silver,0.4,12,124.83,9,False,False,2025-06-11 03:30:18,3,2,False,0.41
QRY_000031,CUST_0031,Can you expedite shipping for order #ORD174441? I need it urgently,Clothing,Shipping,1.68,5.0,Silver,4.6,14,110.84,11,True,True,2025-05-15 02:52:05,2,3,False,0.195
QRY_000032,CUST_0032,What are the dimensions of the Basketball?,Sports,Product Info,0.75,4.7,Gold,50.4,9,133.9,7,False,False,2024-11-30 02:10:26,2,5,True,0.293
QRY_000033,CUST_0033,The Yoga Mat app keeps crashing on my phone,Sports,Technical Support,2.91,3.0,Gold,19.4,12,162.99,9,False,False,2025-09-23 15:08:02,15,1,False,0.182
QRY_000034,CUST_0034,Can I return this T-shirt even though it's been 40 days?,Clothing,Returns,3.59,2.9,Bronze,10.3,13,189.09,11,False,False,2025-08-09 00:49:02,0,5,True,0.149
QRY_000035,CUST_0035,I need to change the delivery address for order #ORD864491,Clothing,Shipping,2.54,4.5,Bronze,54.9,13,164.65,10,True,False,2025-05-19 04:01:56,4,0,False,0.329
QRY_000036,CUST_0036,How do I reset my Couch to factory settings?,Home & Garden,Technical Support,6.58,1.2,Bronze,4.2,12,114.28,9,False,False,2025-01-07 21:35:37,21,1,False,0.266
QRY_000037,CUST_0037,My credit card shows a charge of $121.00 but I only ordered items worth $133.00,Electronics,Billing,6.29,3.3,Silver,6.1,14,207.93,15,False,False,2025-07-05 12:04:03,12,5,True,0.176
QRY_000038,CUST_0038,Is the Programming Book compatible with Textbook?,Books,Product Info,0.76,5.0,Silver,45.4,14,108.97,7,False,False,2025-04-10 23:38:50,23,3,False,0.263
QRY_000039,CUST_0039,My package was delivered but I wasn't home. Where is it now?,Home & Garden,Shipping,2.59,4.4,Bronze,11.0,9,146.14,12,False,False,2024-10-25 19:32:41,19,4,False,0.197
QRY_000040,CUST_0040,Can you tell me more about the warranty for Sneakers?,Clothing,Product Info,1.07,4.3,Gold,23.9,15,167.06,10,False,False,2024-11-14 05:11:41,5,3,False,0.329
QRY_000041,CUST_0041,My order #ORD378085 was supposed to arrive yesterday but I haven't received it,Electronics,Shipping,3.21,4.2,Silver,16.3,8,96.46,13,True,False,2025-09-16 11:52:26,11,1,False,0.302
QRY_000042,CUST_0042,What's the difference between Comic Book and Novel?,Books,Product Info,0.5,5.0,Gold,73.9,18,174.12,8,False,False,2025-01-08 20:19:23,20,2,False,0.567
QRY_000043,CUST_0043,What are the dimensions of the Jacket?,Clothing,Product Info,0.88,5.0,Bronze,63.3,10,127.67,7,False,False,2025-05-27 09:59:55,9,1,False,0.294
QRY_000044,CUST_0044,My order #ORD599948 was supposed to arrive yesterday but I haven't received it,Clothing,Shipping,1.92,3.6,Bronze,19.5,13,192.82,13,True,False,2025-08-27 05:54:32,5,2,False,0.148
QRY_000045,CUST_0045,My package was delivered but I wasn't home. Where is it now?,Home & Garden,Shipping,2.32,4.5,Silver,110.7,8,167.89,12,False,False,2025-04-03 01:10:46,1,3,False,0.722
QRY_000046,CUST_0046,The Sneakers arrived damaged. How do I return it?,Clothing,Returns,3.17,2.9,Silver,29.1,10,178.04,9,False,False,2025-07-06 03:42:13,3,6,True,0.221
QRY_000047,CUST_0047,I want to return the Lawn Mower I ordered. It doesn't fit properly,Home & Garden,Returns,3.27,2.7,Gold,39.9,12,178.54,13,False,False,2025-08-24 13:33:15,13,6,True,0.594
QRY_000048,CUST_0048,Is the Sweater compatible with Dress?,Clothing,Product Info,1.14,,Silver,38.1,17,206.78,6,False,False,2025-04-09 20:52:21,20,2,False,0.072
QRY_000049,CUST_0049,I ordered Lawn Mower but received Tennis Racket instead,Home & Garden,Returns,4.97,2.2,Bronze,2.4,13,265.73,9,False,False,2025-01-22 15:51:22,15,2,False,0.297
QRY_000050,CUST_0050,My package was delivered but I wasn't home. Where is it now?,Clothing,Shipping,2.85,3.4,Bronze,21.4,2,56.64,12,False,False,2024-11-24 16:04:00,16,6,True,0.53
QRY_000051,CUST_0051,I ordered Jeans but received Basketball instead,Clothing,Returns,2.5,3.8,Gold,10.7,7,114.23,7,False,False,2024-12-21 05:37:23,5,5,True,0.102
QRY_000052,CUST_0052,What's the difference between Tablet and Tablet?,Electronics,Product Info,0.73,5.0,Silver,2.1,12,183.98,7,False,False,2025-10-03 02:52:06,2,4,False,0.089
QRY_000053,CUST_0053,My package was delivered but I wasn't home. Where is it now?,Sports,Shipping,0.99,3.7,Silver,89.4,12,116.91,12,False,False,2025-03-18 06:29:09,6,1,False,0.334
QRY_000054,CUST_0054,I was charged twice for my order #ORD680097. Can you help me get a refund?,Electronics,Billing,4.12,3.3,Silver,2.0,11,192.62,15,True,False,2025-07-01 16:34:44,16,1,False,0.582
QRY_000055,CUST_0055,The Novel makes a strange noise when I use it,Books,Technical Support,2.17,2.8,Bronze,6.9,12,,10,False,False,2025-01-10 04:36:38,4,4,False,0.49
QRY_000056,CUST_0056,My Coffee Maker stopped working after 2 weeks. Can you help?,Home & Garden,Technical Support,2.64,4.1,Platinum,32.1,13,195.89,11,False,False,2025-06-01 12:25:16,12,6,True,0.297
QRY_000057,CUST_0057,The tracking shows my package is stuck in North Susan for 3 days,Electronics,Shipping,2.59,4.4,Silver,6.8,10,172.19,13,False,False,2024-11-17 18:11:03,18,6,True,0.182
QRY_000058,CUST_0058,I need to change the delivery address for order #ORD110139,Electronics,Shipping,2.49,3.4,Silver,2.5,12,188.73,10,True,False,2025-03-23 10:57:08,10,6,True,0.252
QRY_000059,CUST_0059,My order #ORD710805 was supposed to arrive yesterday but I haven't received it,Sports,Shipping,2.27,4.5,Bronze,13.7,11,128.0,13,True,False,2025-06-15 04:32:43,4,6,True,0.033
QRY_000060,CUST_0060,I ordered Samsung TV but received Boots instead,Electronics,Returns,7.25,1.7,Bronze,23.6,12,156.54,8,False,False,2025-05-08 16:10:46,16,3,False,0.505
QRY_000061,CUST_0061,The Couch arrived damaged. How do I return it?,Home & Garden,Returns,4.87,2.6,Silver,4.3,6,153.49,9,False,False,2025-01-18 08:12:20,8,5,True,0.263
QRY_000062,CUST_0062,Is the MacBook compatible with MacBook?,Electronics,Product Info,0.5,5.0,Gold,20.6,11,130.73,6,False,False,2025-04-13 05:07:59,5,6,True,0.288
QRY_000063,CUST_0063,Can you expedite shipping for order #ORD448321? I need it urgently,Books,Shipping,1.81,4.4,Silver,18.9,19,164.05,11,True,True,2024-11-25 11:23:03,11,0,False,0.78
QRY_000064,CUST_0064,I can't connect my Bike Helmet to WiFi. What should I do?,Sports,Technical Support,2.56,2.4,Bronze,9.2,16,118.87,12,False,False,2025-10-15 02:05:57,2,2,False,0.452
QRY_000065,CUST_0065,Can you expedite shipping for order #ORD582662? I need it urgently,Electronics,Shipping,2.23,3.5,Gold,7.9,7,194.98,11,True,True,2025-04-05 19:40:03,19,5,True,0.124
QRY_000066,CUST_0066,My Tablet stopped working after 2 weeks. Can you help?,Electronics,Technical Support,7.57,2.7,Silver,39.0,10,165.36,10,False,False,2024-10-20 16:24:28,16,6,True,0.558
QRY_000067,CUST_0067,I ordered Cookbook but received Novel instead,Books,Returns,2.12,4.1,Gold,39.5,11,177.35,7,False,False,2025-10-17 06:57:11,6,4,False,0.064
QRY_000068,CUST_0068,What are the dimensions of the Garden Hose?,Home & Garden,Product Info,0.83,5.0,Gold,13.4,12,139.89,8,False,False,2025-08-01 23:18:59,23,4,False,0.319
QRY_000069,CUST_0069,I need to change the delivery address for order #ORD863934,Books,Shipping,1.26,4.4,Bronze,54.2,11,166.21,10,True,False,2025-01-07 10:42:07,10,1,False,0.315
QRY_000070,CUST_0070,My package was delivered but I wasn't home. Where is it now?,Books,Shipping,0.59,5.0,Platinum,20.4,13,143.49,12,False,False,2025-05-01 22:14:42,22,3,False,0.556
QRY_000071,CUST_0071,I lost my receipt but want to return this Couch,Home & Garden,Returns,7.83,2.3,Bronze,9.6,14,181.21,10,False,False,2024-11-22 11:46:31,11,4,False,0.49
QRY_000072,CUST_0072,Can I return this Coffee Maker even though it's been 40 days?,Home & Garden,Returns,6.64,2.2,Bronze,16.4,5,181.42,12,False,False,2024-10-19 00:32:22,0,5,True,0.633
QRY_000073,CUST_0073,I need to update my billing address for order #ORD424308,Home & Garden,Billing,2.09,2.6,Silver,52.5,10,170.65,10,True,False,2024-12-19 09:32:40,9,3,False,0.234
QRY_000074,CUST_0074,I need to update my billing address for order #ORD233470,Books,Billing,2.16,3.6,Silver,2.6,6,121.81,10,True,False,2025-05-23 11:31:20,11,4,False,0.408
QRY_000075,CUST_0075,Is the Textbook compatible with Textbook?,Books,Product Info,0.95,4.8,Silver,2.0,11,114.08,6,False,False,2025-05-17 12:45:41,12,5,True,0.048
QRY_000076,CUST_0076,I ordered T-shirt but received Programming Book instead,Clothing,Returns,1.47,3.3,Gold,19.6,11,139.33,8,False,False,2025-04-02 13:23:38,13,2,False,0.067
QRY_000077,CUST_0077,How do I reset my Sneakers to factory settings?,Clothing,Technical Support,5.72,1.9,Bronze,16.3,5,166.14,9,False,False,2025-10-01 18:04:34,18,2,False,0.138
QRY_000078,CUST_0078,I want to return the Basketball I ordered. It doesn't fit properly,Sports,Returns,2.86,3.4,Silver,21.0,21,108.64,12,False,False,2024-11-26 13:35:50,13,1,False,0.686
QRY_000079,CUST_0079,The Tablet arrived damaged. How do I return it?,Electronics,Returns,2.71,3.1,Bronze,48.7,6,151.23,9,False,False,2025-10-12 04:14:08,4,6,True,0.489
QRY_000080,CUST_0080,My order #ORD598216 was supposed to arrive yesterday but I haven't received it,Home & Garden,Shipping,3.57,3.2,Silver,28.6,11,174.9,13,True,False,2025-09-24 22:53:09,22,2,False,0.399
QRY_000081,CUST_0081,What's the difference between Novel and Novel?,Books,Product Info,1.03,5.0,Silver,55.5,4,259.49,7,False,False,2025-08-17 11:51:43,11,6,True,0.245
QRY_000082,CUST_0082,Is the Tablet compatible with Smart Watch?,Electronics,Product Info,2.57,4.1,Bronze,5.0,12,109.59,7,False,False,2025-07-16 23:52:40,23,2,False,0.289
QRY_000083,CUST_0083,Why was I charged tax on my order when I live in Connecticut?,Home & Garden,Billing,1.36,3.3,Silver,1.9,14,197.52,13,False,False,2025-01-12 00:43:26,0,6,True,0.336
QRY_000084,CUST_0084,I need a receipt for my purchase #ORD989545 for tax purposes,Sports,Billing,3.13,4.0,Silver,4.3,13,121.15,11,True,False,2025-01-12 05:17:22,5,6,True,0.183
QRY_000085,CUST_0085,I lost my receipt but want to return this Gaming Console,Electronics,Returns,4.17,4.3,Gold,48.2,4,208.97,11,False,False,2025-09-18 07:50:41,7,3,False,0.205
QRY_000086,CUST_0086,What's the difference between Headphones and Samsung TV?,Electronics,Product Info,0.78,5.0,Platinum,3.9,13,126.54,8,False,False,2025-03-21 20:45:50,20,4,False,0.457
QRY_000087,CUST_0087,Can you expedite shipping for order #ORD390782? I need it urgently,Home & Garden,Shipping,1.38,5.0,Platinum,44.3,16,70.28,11,True,True,2025-09-23 06:04:54,6,1,False,0.169
QRY_000088,CUST_0088,The Dress arrived damaged. How do I return it?,Clothing,Returns,3.49,2.6,Bronze,48.0,16,120.03,9,False,False,2025-01-28 17:49:02,17,1,False,0.552
QRY_000089,CUST_0089,The tracking shows my package is stuck in New Ryanmouth for 3 days,Books,Shipping,1.3,3.8,Silver,3.3,20,185.58,13,False,False,2025-04-05 02:58:37,2,5,True,0.116
QRY_000090,CUST_0090,My credit card shows a charge of $82.00 but I only ordered items worth $131.00,Sports,Billing,2.46,3.8,Silver,10.6,7,93.77,15,False,False,2025-01-24 13:40:38,13,4,False,0.622
QRY_000091,CUST_0091,How do I reset my Lawn Mower to factory settings?,Home & Garden,Technical Support,4.12,2.4,Silver,35.5,12,253.04,10,False,False,2025-07-11 09:27:50,9,4,False,0.344
QRY_000092,CUST_0092,My order #ORD498858 was supposed to arrive yesterday but I haven't received it,Books,Shipping,0.5,5.0,Gold,12.4,7,237.77,13,True,False,2025-07-02 14:38:07,14,2,False,0.103
QRY_000093,CUST_0093,I need to change the delivery address for order #ORD883826,Home & Garden,Shipping,1.66,4.7,Gold,23.2,14,202.92,10,True,False,2025-07-24 04:05:14,4,3,False,0.512
QRY_000094,CUST_0094,My credit card shows a charge of $298.00 but I only ordered items worth $32.00,Electronics,Billing,7.28,3.1,Bronze,13.8,17,62.06,15,False,False,2025-03-22 22:08:05,22,5,True,0.36
QRY_000095,CUST_0095,I need to change the delivery address for order #ORD273061,Sports,Shipping,0.51,5.0,Silver,36.7,11,64.83,10,True,False,2025-03-29 22:20:06,22,5,True,0.269
QRY_000096,CUST_0096,What's the difference between Jacket and T-shirt?,Clothing,Product Info,0.51,4.6,Silver,93.9,12,147.22,7,False,False,2025-06-13 16:30:22,16,4,False,0.095
QRY_000097,CUST_0097,I need to change the delivery address for order #ORD152727,Clothing,Shipping,2.18,4.4,Silver,6.6,6,168.33,10,True,False,2025-02-12 15:48:40,15,2,False,0.061
QRY_000098,CUST_0098,I ordered Cookbook but received Running Shoes instead,Books,Returns,5.22,3.0,Bronze,10.2,17,103.01,8,False,False,2025-06-10 05:59:13,5,1,False,0.42
QRY_000099,CUST_0099,What are the dimensions of the Tennis Racket?,Sports,Product Info,0.75,5.0,Silver,4.5,8,123.49,8,False,False,2025-07-07 00:47:37,0,0,False,0.006
QRY_000100,CUST_0100,I was charged twice for my order #ORD142213. Can you help me get a refund?,Sports,Billing,3.2,3.6,Bronze,2.2,7,110.36,15,True,False,2025-06-30 12:25:31,12,0,False,0.433
QRY_000101,CUST_0101,My package was delivered but I wasn't home. Where is it now?,Books,Shipping,1.27,4.3,Bronze,10.9,12,115.01,12,False,False,2024-11-22 21:55:23,21,4,False,0.275
QRY_000102,CUST_0102,The Tennis Racket arrived damaged. How do I return it?,Sports,Returns,2.77,3.8,Gold,60.9,5,160.7,10,False,False,2025-08-26 21:12:08,21,1,False,0.122
QRY_000103,CUST_0103,I need a receipt for my purchase #ORD853252 for tax purposes,Clothing,Billing,1.77,3.3,Gold,33.1,8,136.25,11,True,False,2025-04-20 04:04:59,4,6,True,0.292
QRY_000104,CUST_0104,I was charged twice for my order #ORD126925. Can you help me get a refund?,Books,Billing,2.06,3.4,Silver,11.0,12,34.9,15,True,False,2025-01-01 03:45:32,3,2,False,0.394
QRY_000105,CUST_0105,My credit card shows a charge of $403.00 but I only ordered items worth $237.00,Clothing,Billing,4.83,2.5,Bronze,7.0,12,143.6,15,False,False,2024-12-13 22:57:21,22,4,False,0.212
QRY_000106,CUST_0106,When will the Bike Helmet be back in stock?,Sports,Product Info,0.96,5.0,Silver,6.7,9,102.22,9,False,False,2025-08-15 22:53:43,22,4,False,0.121
QRY_000107,CUST_0107,I need a receipt for my purchase #ORD793655 for tax purposes,Clothing,Billing,2.62,3.7,Bronze,9.3,9,234.36,11,True,False,2025-07-14 21:51:33,21,0,False,0.16
QRY_000108,CUST_0108,How do I reset my Boots to factory settings?,Clothing,Technical Support,3.89,3.8,Gold,16.6,6,194.08,9,False,False,2025-10-08 22:55:54,22,2,False,0.449
QRY_000109,CUST_0109,I can't connect my Lawn Mower to WiFi. What should I do?,Home & Garden,Technical Support,7.28,1.6,Silver,32.8,11,106.22,12,False,False,2025-07-03 21:46:00,21,3,False,0.371
QRY_000110,CUST_0110,I need a receipt for my purchase #ORD587455 for tax purposes,Sports,Billing,3.37,3.6,Silver,20.3,13,80.86,11,True,False,2025-06-12 13:49:29,13,3,False,0.111
QRY_000111,CUST_0111,My credit card shows a charge of $280.00 but I only ordered items worth $87.00,Home & Garden,Billing,4.55,3.0,Bronze,4.0,9,120.38,15,False,False,2025-04-08 19:42:26,19,1,False,0.212
QRY_000112,CUST_0112,I was charged twice for my order #ORD992288. Can you help me get a refund?,Books,Billing,2.24,3.3,Bronze,54.5,6,106.8,15,True,False,2025-09-08 19:34:51,19,0,False,0.119
QRY_000113,CUST_0113,I ordered Garden Hose but received Lawn Mower instead,Home & Garden,Returns,2.3,3.1,Silver,96.9,7,121.16,9,False,False,2025-04-23 20:15:46,20,2,False,0.143
QRY_000114,CUST_0114,I was charged twice for my order #ORD300337. Can you help me get a refund?,Clothing,Billing,3.06,2.3,Bronze,26.5,18,187.77,15,True,False,2025-07-21 18:12:41,18,0,False,0.385
QRY_000115,CUST_0115,I lost my receipt but want to return this Smart Watch,Electronics,Returns,4.33,2.3,Silver,7.9,15,111.84,11,False,False,2025-09-29 11:06:17,11,0,False,0.562
QRY_000116,CUST_0116,What are the dimensions of the iPhone?,Electronics,Product Info,1.37,3.8,Silver,6.7,7,59.76,7,False,False,2025-07-14 03:34:20,3,0,False,0.063
QRY_000117,CUST_0117,My package was delivered but I wasn't home. Where is it now?,Clothing,Shipping,2.24,4.3,Bronze,20.9,8,117.41,12,False,False,2025-02-23 03:31:46,3,6,True,0.177
QRY_000118,CUST_0118,What's the difference between Garden Hose and Garden Hose?,Home & Garden,Product Info,1.15,4.1,Bronze,3.5,10,152.37,9,False,False,2025-09-06 02:35:59,2,5,True,0.252
QRY_000119,CUST_0119,Can you expedite shipping for order #ORD856321? I need it urgently,Clothing,Shipping,2.43,4.3,Bronze,27.5,15,26.42,11,True,True,2025-07-14 18:14:07,18,0,False,0.02
QRY_000120,CUST_0120,My credit card shows a charge of $191.00 but I only ordered items worth $210.00,Books,Billing,2.76,3.8,Bronze,63.7,19,110.16,15,False,False,2025-02-10 14:45:46,14,0,False,0.47
QRY_000121,CUST_0121,Is the Garden Hose compatible with Garden Hose?,Home & Garden,Product Info,2.09,3.5,Bronze,32.4,13,166.88,8,False,False,2025-05-14 16:04:14,16,2,False,0.404
QRY_000122,CUST_0122,I lost my receipt but want to return this Novel,Books,Returns,1.78,3.7,Bronze,4.3,8,129.41,10,False,False,2025-04-04 21:46:37,21,4,False,0.294
QRY_000123,CUST_0123,Is the Bike Helmet compatible with Running Shoes?,Sports,Product Info,0.9,5.0,Silver,17.8,10,210.06,8,False,False,2025-07-25 21:21:03,21,4,False,0.18
QRY_000124,CUST_0124,Why was I charged tax on my order when I live in Hawaii?,Electronics,Billing,2.91,4.1,Silver,11.4,12,129.6,13,False,False,2024-10-28 02:50:12,2,0,False,0.238
QRY_000125,CUST_0125,What are the dimensions of the Lawn Mower?,Home & Garden,Product Info,1.77,4.7,Silver,16.8,11,161.78,8,False,False,2025-09-19 07:07:53,7,4,False,0.648
QRY_000126,CUST_0126,The Smart Watch arrived damaged. How do I return it?,Electronics,Returns,4.67,2.6,Bronze,67.5,13,188.54,10,False,False,2025-02-21 18:38:21,18,4,False,0.606
QRY_000127,CUST_0127,Why was I charged tax on my order when I live in Indiana?,Clothing,Billing,2.54,2.8,Bronze,37.9,13,159.09,13,False,False,2025-02-02 17:01:51,17,6,True,0.015
QRY_000128,CUST_0128,Why was I charged tax on my order when I live in Wisconsin?,Electronics,Billing,3.89,2.9,Bronze,9.0,9,,13,False,False,2025-04-18 07:04:07,7,4,False,0.142
QRY_000129,CUST_0129,My order #ORD755900 was supposed to arrive yesterday but I haven't received it,Books,Shipping,2.15,3.4,Bronze,20.2,10,136.51,13,True,False,2025-08-17 01:06:40,1,6,True,0.334
QRY_000130,CUST_0130,My credit card shows a charge of $88.00 but I only ordered items worth $65.00,Home & Garden,Billing,1.65,4.3,Gold,3.9,9,101.06,15,False,False,2025-01-03 01:40:03,1,4,False,0.605
QRY_000131,CUST_0131,My package was delivered but I wasn't home. Where is it now?,Electronics,Shipping,3.52,3.3,Silver,24.6,14,111.31,12,False,False,2025-07-04 15:18:00,15,4,False,0.455
QRY_000132,CUST_0132,Can I return this Jeans even though it's been 40 days?,Clothing,Returns,3.39,2.8,Bronze,57.4,13,87.77,11,False,False,2025-08-11 11:29:59,11,0,False,0.224
QRY_000133,CUST_0133,I want to return the Textbook I ordered. It doesn't fit properly,Books,Returns,3.17,2.8,Silver,70.6,8,272.29,12,False,False,2025-08-04 02:39:49,2,0,False,0.07
QRY_000134,CUST_0134,What are the dimensions of the T-shirt?,Clothing,Product Info,1.93,4.5,Bronze,49.4,18,156.46,7,False,False,2024-11-28 15:02:41,15,3,False,0.555
QRY_000135,CUST_0135,I was charged twice for my order #ORD822131. Can you help me get a refund?,Electronics,Billing,1.77,2.1,Silver,61.4,14,244.1,15,True,False,2025-03-20 16:34:43,16,3,False,0.428
QRY_000136,CUST_0136,I need a receipt for my purchase #ORD559023 for tax purposes,Clothing,Billing,4.44,2.7,Silver,32.0,11,217.27,11,True,False,2025-09-05 04:58:48,4,4,False,0.777
QRY_000137,CUST_0137,The tracking shows my package is stuck in North Heidi for 3 days,Home & Garden,Shipping,1.35,4.3,Platinum,43.8,17,65.38,13,False,False,2025-02-11 18:26:44,18,1,False,0.293
QRY_000138,CUST_0138,I need to update my billing address for order #ORD142185,Books,Billing,2.09,2.1,Bronze,9.8,15,226.48,10,True,False,2025-03-01 11:39:54,11,5,True,0.464
QRY_000139,CUST_0139,Can I return this Cookbook even though it's been 40 days?,Books,Returns,2.94,3.5,Bronze,12.2,12,85.5,11,False,False,2025-05-02 03:23:15,3,4,False,0.05
QRY_000140,CUST_0140,Can you tell me more about the warranty for Samsung TV?,Electronics,Product Info,1.63,3.4,Silver,14.4,9,85.25,11,False,False,2025-09-02 00:10:15,0,1,False,0.192
QRY_000141,CUST_0141,Can you expedite shipping for order #ORD531641? I need it urgently,Electronics,Shipping,3.59,3.2,Bronze,4.7,12,138.45,11,True,True,2025-07-19 08:05:08,8,5,True,0.336
QRY_000142,CUST_0142,What's the difference between Running Shoes and Running Shoes?,Sports,Product Info,0.92,5.0,Silver,24.0,8,184.81,9,False,False,2025-06-27 06:11:38,6,4,False,0.115
